,ID,Country,Date,Amount,Controller_Processor,Quoted_Art,Type,Source
163,ETid-824,DENMARK,2021-09-08,"53,800",Midtjylland Region,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,link
164,ETid-823,SPAIN,2021-09-02,"4,000","Automecanica Jerez, S.L.","Art. 5 (1) f) GDPR, Art. 32 GDPR, Art. 21 LSSI",Insufficient technical and organisational measures to ensure information security,link
165,ETid-822,SPAIN,2021-08-23,"1,800",Agency,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,link
166,ETid-821,SPAIN,2021-08-30,"6,000",Furnishyourspace S.L.,"Art. 5 (1) a) GDPR, Art. 6 GDPR, Art. 12 GDPR, Art. 13 GDPR, Art. 21 (4) GDPR",Insufficient fulfilment of information obligations,link
167,ETid-820,IRELAND,2021-09-02,"225,000,000",WhatsApp Ireland Ltd.,"Art. 5 (1) a) GDPR, Art. 12 GDPR, Art. 13 GDPR, Art. 14 GDPR",Insufficient fulfilment of information obligations,link link
168,ETid-819,SPAIN,2021-08-25,"120,000","Banco Bilbao Vizcaya Argentaria, S.A.",Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,link
169,ETid-818,SPAIN,2021-08-26,"1,000",Owners Association,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles,link
170,ETid-817,POLAND,2021-08-13,"2,200",President of the Zgierz District Court,"Art. 5 (1) f) GDPR, Art. 25 (1) GDPR, Art. 32 (1) b), d), (2) GDPR",Insufficient technical and organisational measures to ensure information security,link
171,ETid-816,ROMANIA,2021-08-24,"3,000",Actamedica SRL,"Art. 28 (1) GDPR, Art. 32 GDPR, Art. 33 GDPR",Insufficient technical and organisational measures to ensure information security,link
172,ETid-815,SPAIN,2021-08-23,"2,000",Company owner,Art. 13 GDPR,Insufficient fulfilment of information obligations,link
173,ETid-814,SPAIN,2021-08-13,"1,000",Employer,Art. 13 GDPR,Insufficient fulfilment of information obligations,link
174,ETid-813,HUNGARY,2021-06-18,"28,400",Magyar Telekom Nyrt.,"Art. 5 (1) d) GDPR, Art. 6 (1) GDPR, Art. 12 (2), (3), (4) GDPR, Art. 17 (1) GDPR, Art. 25 GDPR",Insufficient fulfilment of data subjects rights,link
175,ETid-812,HUNGARY,2021-04-20,"2,800",Website operator,"Art. 5 (2) GDPR, Art. 24 GDPR",Non-compliance with general data processing principles,link
176,ETid-811,SPAIN,2021-08-03,"96,000","Vodafone España, S.A.U.","Art. 6 (1) GDPR, Art. 17 GDPR",Insufficient legal basis for data processing,link
177,ETid-810,SPAIN,2021-08-10,"2,000",DESPACHO TEJEDOR INFANTES CONSULTORES ASESORES,Art. 5 (1) f) GDPR,Non-compliance with general data processing principles,link
178,ETid-809,NORWAY,2021-08-12,"9,600",Waxing Palace AS,"Art. 5 GDPR, Art. 6 GDPR, Art. 13 GDPR",Insufficient legal basis for data processing,link
179,ETid-808,ITALY,2021-06-10,"40,000",aiComply S.r.l.,"Art. 28 GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security,link
180,ETid-807,ITALY,2021-06-10,"40,000",Aeroporto Guglielmo Marconi di Bologna S.p.a.,"Art. 5 (1) f) GDPR, Art. 25 GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security,link
181,ETid-806,SPAIN,2021-08-05,"6,000",Future Vinline S.L.,Art. 13 GDPR,Insufficient fulfilment of information obligations,link
182,ETid-805,SPAIN,2021-08-09,"5,000",CLUB GIMNASIA RÍTMICA SAN ANTONIO,Art. 6 GDPR,Insufficient legal basis for data processing,link
183,ETid-804,SPAIN,2021-08-09,"1,000","BAZTANDIS, S.L.",Art. 13 GDPR,Insufficient fulfilment of information obligations,link
184,ETid-803,SPAIN,2021-07-30,"4,000",Gas inspector,Art. 6 (1) GDPR,Insufficient legal basis for data processing,link
185,ETid-802,SPAIN,2021-07-30,"2,000",Private Individual,Art. 6 (1) GDPR,Insufficient legal basis for data processing,link
186,ETid-801,SPAIN,2021-07-30,600,Private Individual,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles,link
187,ETid-800,SPAIN,2021-07-27,"4,000",Private Individual,"Art. 5 (1) c), e) GDPR",Non-compliance with general data processing principles,link
188,ETid-799,SPAIN,2021-07-27,"3,000","INSTAPACK, S.L.","Art. 5 (1) a) GDPR, Art. 6 (1) a) GDPR",Insufficient legal basis for data processing,link
189,ETid-798,SPAIN,2021-07-27,"3,000","UST GLOBAL ESPAÑA, S.A.",Art. 5 (1) f) GDPR,Non-compliance with general data processing principles,link
190,ETid-797,SPAIN,2021-08-05,"3,000",Private Individual,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles,link
191,ETid-796,SPAIN,2021-07-27,"1,000","APARTAMENTOS PLAYA DE COVACHOS, S.L.",Art. 13 GDPR,Insufficient fulfilment of information obligations,link
192,ETid-795,SPAIN,2021-07-27,"2,000",Vasco Andaluza de Inversiones S.L.,Art. 6 (1) GDPR,Insufficient legal basis for data processing,link
193,ETid-794,SPAIN,2021-07-27,"2,000",Gerco Fit S.L.,Art. 6 (1) GDPR,Insufficient legal basis for data processing,link
194,ETid-793,SPAIN,2021-07-27,"2,000",Body Tonic Shop S.L.,Art. 6 (1) GDPR,Insufficient legal basis for data processing,link
195,ETid-792,AUSTRIA,2021-08-02,"2,000,000",Unser Ö-Bonus Club GmbH,"Art. 6 GDPR, Art. 7 GDPR, Art. 12 GPDR",Insufficient legal basis for data processing,link link
196,ETid-791,GERMANY,2020,"65,000",Company,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,link link
197,ETid-790,ITALY,2021-07-22,"2,500,000",Deliveroo Italy s.r.l.,"Art. 5 (1) a), c), e) GDPR, Art. 13 GDPR, Art. 22 (3) GDPR, Art. 25 GDPR, Art. 30 (1) c), f), g) GDPR, Art. 32 GDPR, Art. 35 GDPR, Art. 37 (7) GDPR",Non-compliance with general data processing principles,link
198,ETid-789,SPAIN,2021-08-02,"3,000",Club Náutico el Estacio,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,link
199,ETid-788,SPAIN,2021-07-27,"60,000",PRA Iberia S.L.,"Art. 6 (1) GDPR, Art. 15 GDPR",Insufficient legal basis for data processing,link
283,ETid-787,ROMANIA,2021-07-30,200,Private Individual,"Art. 5 (1) a), b), (2) GDPR, Art. 6 (1) GDPR, Art. 14 (1), (4) GDPR",Insufficient legal basis for data processing,link
284,ETid-786,FINLAND,2021-07-05,"25,000",Higher Education Institution,"Art. 5 (1) c) GDPR, Art. 6 GDPR, § 3 Law 759/2004",Non-compliance with general data processing principles,link link
285,ETid-785,SPAIN,2021-07-27,"2,000",Owners Association,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles,link
286,ETid-784,SPAIN,2021-07-27,900,Owners Association,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles,link
287,ETid-783,SPAIN,2021-07-27,"2,400",PODEMOS PARTIDO POLÍTICO,"Art. 5 (1) c) GDPR, Art. 13 GDPR",Non-compliance with general data processing principles,link
288,ETid-782,SPAIN,2021-07-27,"10,000","PERSONAL MARK, S.L.",Art. 17 GDPR,Insufficient fulfilment of data subjects rights,link
289,ETid-781,SPAIN,2021-07-27,"1,000","NEXTSTEPAGENCY, S.L.",Art. 13 GDPR,Insufficient fulfilment of information obligations,link
290,ETid-780,SPAIN,2021-07-27,500,Website operator,Art. 13 GDPR,Insufficient fulfilment of information obligations,link
291,ETid-779,SPAIN,2021-07-29,"3,000","UNIVERSIDAD A DISTANCIA DE MADRID, S.A.","Art. 17 (1) GDPR, Art. 21 LSSI",Insufficient fulfilment of data subjects rights,link
292,ETid-778,LUXEMBOURG,2021-07-16,"746,000,000",Amazon Europe Core S.à.r.l.,Unknown,Non-compliance with general data processing principles,link
293,ETid-777,SPAIN,2021-07-26,"2,520,000",Mercadona S.A.,"Art. 5 (1) c) GDPR, Art. 6 GDPR, Art. 9 GDPR, Art. 12 GDPR, Art. 13 GDPR, Art. 25 (1) GDPR, Art. 35 GDPR",Insufficient legal basis for data processing,link
294,ETid-776,FRANCE,2021-07-26,"400,000",Monsanto Company,"Art. 14 GDPR, Art. 28 GDPR",Insufficient fulfilment of information obligations,link
295,ETid-775,SPAIN,2021-07-26,"2,000",Fincas Miguel García S.L.,Art. 13 GDPR,Insufficient fulfilment of information obligations,link
296,ETid-774,SPAIN,2021-07-26,"2,000",Intersumi S.C.,Art. 13 GDPR,Insufficient fulfilment of information obligations,link
297,ETid-773,ITALY,2021-05-27,"150,000",Azienda Provinciale per i Servizi Sanitari di Trento,"Art. 5 (1) a), f) GDPR, Art. 9 GDPR",Non-compliance with general data processing principles,link
298,ETid-772,ITALY,2021-05-27,"120,000",Azienda Usl della Romagna,"Art. 5 (1) f) GDPR, Art. 9 GDPR",Non-compliance with general data processing principles,link
299,ETid-771,FRANCE,2021-07-20,"1,750,000",SGAM AG2R LA MONDIALE,"Art. 5 (1) e) GDPR, Art. 13 GDPR, Art. 14 GDPR",Non-compliance with general data processing principles,link
300,ETid-770,THE NETHERLANDS,2021-04-09,"750,000",TikTok,Art. 12 GDPR,Insufficient fulfilment of information obligations,link
301,ETid-769,POLAND,2021-06-30,"3,000",Fundację Promocji Mediacji i Edukacji Prawnej Lex Nostra,"Art. 33 (1) GDPR, Art. 34 (1) GDPR",Insufficient fulfilment of data breach notification obligations,link
302,ETid-768,SPAIN,2021-07-12,"45,000","Telefónica Móviles España, S.A.U.",Art. 6 GDPR,Insufficient legal basis for data processing,link
303,ETid-767,GREECE,2021-07-08,"5,000",Pediatrician,"Art. 12 (1) GDPR, Art. 15 (1) GDPR",Insufficient fulfilment of data subjects rights,link
304,ETid-766,SPAIN,2021-07-01,"6,000",Private Individual,Art. 6 (1) GDPR,Insufficient legal basis for data processing,link
305,ETid-765,SPAIN,2021-07-01,"1,000",Unknown,Art. 6 (1) GDPR,Insufficient legal basis for data processing,link
306,ETid-764,SPAIN,2021-07-07,"2,000",Homeowners Association,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles,link
307,ETid-763,SPAIN,2021-07-02,"1,500",Private Individual,Art. 6 (1) a) GDPR,Insufficient legal basis for data processing,link
308,ETid-762,SPAIN,2021-07-06,"4,200",Marbella Resorts S.L.,Art. 28 (3) GDPR,Insufficient data processing agreement,link
309,ETid-761,SPAIN,2021-07-09,"1,500",Aparcamiento Arcusa S.L.U.,"Art. 5 (1) c) GDPR, Art. 13 GDPR",Non-compliance with general data processing principles,link
310,ETid-760,LUXEMBOURG,2021-06-29,"12,500",Unknown,"Art. 5 (1) c) GDPR, Art. 13 GDPR",Non-compliance with general data processing principles,link
311,ETid-759,DENMARK,2021-07-16,"67,900",Region of Syddanmark,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,link
312,ETid-758,GERMANY,2020,"7,000",Unknown,Art. 58 (1) f) GDPR,Insufficient cooperation with supervisory authority,link
313,ETid-757,DENMARK,2021-07-09,"80,700",Medicals Nordic I/S,Unknown,Non-compliance with general data processing principles,link
314,ETid-756,CROATIA,2021-07-05,Unknown,Insurance company,"Art. 13 GDPR, Art. 14 GDPR, Art 27 (1) of the National Implementation Law",Insufficient fulfilment of information obligations,link
315,ETid-755,SPAIN,2021-07-08,"4,000",Malagatrom S.L.U.,Art. 6 GDPR,Insufficient legal basis for data processing,link
316,ETid-754,SPAIN,2021-07-08,"50,000",Caixabank S.A.,Art. 6 (1) f) GDPR,Insufficient legal basis for data processing,link
317,ETid-753,LUXEMBOURG,2021-06-11,"15,000",Unknown,"Art. 38 (1), (3) GDPR, Art. 39 (1) a), b) GDPR",Lack of appointment of data protection officer,link
318,ETid-752,UNITED KINGDOM,2021-07-05,"29,000",Mermaids,"Art. 5 (1) f) GDPR, Art. 32 (1), (2) GDPR",Insufficient technical and organisational measures to ensure information security,link
319,ETid-751,THE NETHERLANDS,2021-05-31,"450,000",UWV (Dutch employee insurance service provider),Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,link
320,ETid-750,ITALY,2021-06-10,"20,000",Dentist,"Art. 5 (1) a), c) GDPR",Insufficient legal basis for data processing,link
321,ETid-749,LUXEMBOURG,2021-06-11,"7,600",Unknown,"Art. 5 (1) c) GDPR, Art. 13 GDPR",Non-compliance with general data processing principles,link
322,ETid-748,LUXEMBOURG,2021-06-11,"7,200",Unknown,"Art. 5 (1) c), e) GDPR, Art. 13 GDPR, Art. 32 (1) GDPR",Non-compliance with general data processing principles,link
323,ETid-747,ITALY,2021-05-13,"84,000",Comune di Bolzano,"Art. 5 (1) a), c) GDPR, Art. 6 GDPR, Art. 9 GDPR, Art. 13 GDPR, Art. 35 GDPR",Non-compliance with general data processing principles,link
324,ETid-746,DENMARK,2021-07-07,"53,800",Nordbornholms Byggeforretning Aps,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,link
325,ETid-745,CROATIA,2021-07-05,Unknown,IT services company,"Art. 32 (1) b), (2) GDPR",Insufficient technical and organisational measures to ensure information security,link
326,ETid-744,FINLAND,2021-06-24,"8,500",Magazine publisher,"Art. 5 (1) a) GDPR, Art. 7 (2), (4) GDPR, Art. 12 (2) GDPR, Art. 21 (2) GDPR, Art. 24 (1) GDPR, Art. 28 (1), (3) GDPR",Insufficient legal basis for data processing,link
327,ETid-743,ITALY,2021-06-10,"2,600,000",Foodinho s.r.l.,"Art. 5 (1) a), c), e) GDPR, Art. 13 GDPR, Art. 22 (3) GDPR, Art. 25 GDPR, Art. 30 (1) a), b), c), f), g) GDPR, Art. 32 GDPR, Art. 35 GDPR, Art. 37 (7) GDPR",Non-compliance with general data processing principles,link
328,ETid-742,LUXEMBOURG,2021-04-08,"2,800",Unknown,"Art. 5 (1) e) GDPR, Art. 13 GDPR",Non-compliance with general data processing principles,link
329,ETid-741,POLAND,2021-06-21,"35,300",Sopockie Towarzystwo Ubezpieczeń ERGO Hestia S.A.,"Art. 33 (1) GDPR, Art. 34 (1) GDPR",Insufficient fulfilment of data breach notification obligations,link
330,ETid-740,ICELAND,2021-06-15,"34,000",Huppuís ehf,"Art. 5 (1) a), c) GDPR, Art. 6 (1) GDPR, Art. 12 (1) GDPR, Art. 13 (1), (2) GDPR",Non-compliance with general data processing principles,link
331,ETid-739,LITHUANIA,2020,"8,000",Unknown,"Art. 5 GDPR, Art. 13 GDPR, Art. 24 GDPR, Art. 35 GDPR",Non-compliance with general data processing principles,link
332,ETid-738,NORWAY,2021-06-04,"49,200",Moss municipality,"Art. 32 (1) b), d) GDPR",Insufficient technical and organisational measures to ensure information security,link
333,ETid-737,ITALY,2021-05-13,"2,856,169",Iren Mercato S.p.A.,"Art. 5 (1), (2) GDPR, Art. 6 (1) GDPR, Art. 7 (1) GDPR",Insufficient legal basis for data processing,link
334,ETid-736,SPAIN,2021-06-22,"10,000","TNT EXPRESS WORLDWIDE SPAIN, S.L.",Art. 5 (1) d) GDPR,Non-compliance with general data processing principles,link
335,ETid-735,NORWAY,2021-06-22,"24,800",Unknown,"Art. 5 GDPR, Art. 6 GDPR, Art. 13 GDPR, Art. 17 GDPR, Art. 21 GDPR",Insufficient legal basis for data processing,link
336,ETid-734,FRANCE,2021-06-14,"500,000",BRICO PRIVÉ,"Art. 5 (1) e) GDPR, Art. 13 GDPR, Art. 17 GDPR, Art. 32 GDPR, Art. 82 Loi informatique et libertés, Art. L. 34-5 CPCE",Non-compliance with general data processing principles,link
337,ETid-733,SWEDEN,2021-06-21,"1,600,000",Storstockholms Lokaltrafik,"Art. 5 (1) a), c) GDPR, Art. 6 (1) f) GDPR, Art. 13 GDPR",Insufficient legal basis for data processing,link
338,ETid-732,LITHUANIA,2021-06-21,"20,000",UAB VS FITNESS,"Art. 5 (1) a), c) GDPR, Art. 9 (1) GDPR, Art. 13 (1), (2) GDPR, Art. 30 GDPR, Art. 35 (1) GDPR",Non-compliance with general data processing principles,link
339,ETid-731,GREECE,2021-06-03,"15,000",PURPLE SEA MΟΝΟΠΡΟΣΩΠΗ ΙΚΕ,"Art. 5 (1) a), b) GDPR, Art. 5 (2) GDPR",Non-compliance with general data processing principles,link
340,ETid-730,DENMARK,2021-06-16,"27,000",Vejle Municipality,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,link
341,ETid-729,POLAND,2021-03-19,"4,900",Funeda Sp. z o.o.,"Art. 31 GDPR, Art. 58 (1) a), e) GDPR",Insufficient cooperation with supervisory authority,link
342,ETid-728,ROMANIA,2021-06-09,"2,000",La Santrade S.R.L.,"Art. 31 GDPR, Art. 58 GDPR",Insufficient cooperation with supervisory authority,link
343,ETid-727,SPAIN,2021-06-14,"1,200",Inmopiso Zaragoza S.L.,Art. 13 GDPR,Insufficient fulfilment of information obligations,link
344,ETid-726,LUXEMBOURG,2021-05-31,"18,000",Unknown,"Art. 38 (1), (2) GDPR, Art. 39 (1) a) GDPR",Lack of appointment of data protection officer,link
345,ETid-725,THE NETHERLANDS,2021-02-04,"12,000",Orthodontic Clinic,Art. 32 (1) GDPR,Insufficient technical and organisational measures to ensure information security,link
346,ETid-724,LIECHTENSTEIN,2020,"4,100",Unknown,Unknown,Non-compliance with general data processing principles,link
347,ETid-723,NORWAY,2021-05-28,"39,700",BRAbank ASA,"Art. 24 GDPR, Art. 32 (1), (2) GDPR",Insufficient technical and organisational measures to ensure information security,link
348,ETid-722,SWEDEN,2021-06-09,"34,800",Directorate of the Östra Skaraborg Rescue Service,"Art. 5 (1) a), c) GDPR, Art. 32 (1), (4) GDPR",Non-compliance with general data processing principles,link
349,ETid-721,POLAND,2021-04-27,"5,050",PNP S.A.,"Art. 31 GDPR, Art. 58 (1) e) GDPR",Insufficient cooperation with supervisory authority,link
350,ETid-720,ROMANIA,2021-06-09,"2,000",S.C. Dreamtime Call S.R.L.,"Art. 31 GDPR, Art. 58 GDPR",Insufficient cooperation with supervisory authority,link
351,ETid-719,SWEDEN,2021-06-07,"64,500",Voice Integrate Nordic AB,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,link
352,ETid-718,SWEDEN,2021-06-07,"1,200,000",MedHelp AB,"Art. 5 (1) a), f) GDPR, Art. 6 GDPR, Art. 9 (1) GDPR, Art. 13 GDPR, Art. 32 GDPR",Non-compliance with general data processing principles,link
353,ETid-717,SWEDEN,2021-06-07,"50,000",Region Stockholm,"Art. 5 (1) a) GDPR, Art. 13 GDPR, Art. 14 GDPR",Insufficient fulfilment of information obligations,link
354,ETid-716,SWEDEN,2021-06-07,"25,000",Region Värmland,"Art. 5 (1) a) GDPR, Art. 13 GDPR",Insufficient fulfilment of information obligations,link
355,ETid-715,SWEDEN,2021-06-07,"25,000",Region Sörmland,"Art. 5 (1) a) GDPR, Art. 13 GDPR",Insufficient fulfilment of information obligations,link
356,ETid-714,LUXEMBOURG,2021-05-12,"1,000",Unknown,"Art. 5 (1) c) GDPR, Art. 13 GDPR",Non-compliance with general data processing principles,link
357,ETid-713,LUXEMBOURG,2021-05-12,"2,600",Unknown,"Art. 5 (1) c) GDPR, Art. 13 GDPR",Non-compliance with general data processing principles,link
358,ETid-712,LUXEMBOURG,2021-05-12,"2,400",Unknown,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles,link
359,ETid-711,LUXEMBOURG,2021-05-12,"1,900",Unknown,"Art. 5 (1) c), e) GDPR",Non-compliance with general data processing principles,link
360,ETid-710,SPAIN,2021-06-07,"19,600",Radiotelevisión del principado de Asturias,"Art. 5 (1) c) GDPR, Art. 12 GDPR",Non-compliance with general data processing principles,link
361,ETid-709,SPAIN,2021-06-07,"20,000",Master Distancia S.A.,Art. 6 (1) GDPR,Insufficient legal basis for data processing,link
362,ETid-708,SPAIN,2021-06-04,"6,000",Creator Energy S.L.,Art. 6 (1) b) GDPR,Insufficient legal basis for data processing,link
363,ETid-707,ITALY,2021-04-15,"12,000",Istituto Nazionale Previdenza Sociale (INPS),"Art. 5 (1) a) GDPR, Art. 12 GDPR, Art. 15 GDPR",Insufficient fulfilment of data subjects rights,link
364,ETid-706,SPAIN,2021-06-02,"4,000","Avalos Consultores, S.L.",Art. 6 GDPR,Insufficient legal basis for data processing,link
365,ETid-705,SPAIN,2021-05-21,"45,000","Telefónica de España, S.A.U",Art. 6 GDPR,Insufficient legal basis for data processing,link
366,ETid-704,ITALY,2021-04-21,"15,000",Fondazione Policlinico Tor Vergata di Roma,"Art. 5 (1) a), f) GDPR, Art. 13 GDPR, Art. 25 GDPR, Art. 32 GDPR",Non-compliance with general data processing principles,link
367,ETid-703,GREECE,2021-05-12,"5,000",KARIERA A.E.,"Art. 17 GDPR, Art. 21 GDPR, Art. 25 GDPR",Insufficient fulfilment of data subjects rights,link
368,ETid-702,SPAIN,2021-05-21,"3,000",Homeowners Association,"Art. 5 (1) c) GDPR, Art. 12 GDPR",Non-compliance with general data processing principles,link
369,ETid-701,SPAIN,2021-05-27,"2,000",Private Individual,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles,link
370,ETid-700,NORWAY,2021-05-18,"95,500",Innovasjon Norge,"Art. 5 (1) GDPR, Art. 6 (1) GDPR",Insufficient legal basis for data processing,link
371,ETid-699,GREECE,2021-05-17,"10,000",Municipal Organization for Pre-School Education and Social Solidarity (DOPAKA) of the municipality of Tavros Moschato,"Art. 6 (1) c) GDPR, Art. 12 (3), (4) GDPR, Art. 17 (1) d) GDPR",Insufficient legal basis for data processing,link
372,ETid-698,ITALY,2021-03-25,"7,000",TECNOMEDICAL S.r.l.,"Art. 12 (3) GDPR, Art. 15 GDPR",Insufficient fulfilment of data subjects rights,link
373,ETid-697,SPAIN,2021-05-26,"3,000","Vodafone España, S.A.U.",Art. 58 (1) GDPR,Insufficient cooperation with supervisory authority,link
374,ETid-696,SPAIN,2021-05-25,"6,000","Desolasol Restauración, S.L.",Art. 5 (1) f) GDPR,Non-compliance with general data processing principles,link
375,ETid-695,SPAIN,2021-05-25,"4,000","Alava Norte, S.L.",Art. 5 (1) c) GDPR,Non-compliance with general data processing principles,link
376,ETid-694,SPAIN,2021-05-25,"100,000","Vodafone España, SAU",Art. 28 GDPR,Insufficient technical and organisational measures to ensure information security,link
377,ETid-693,HUNGARY,2021-04-27,570,Company,"Art. 5 (1) a), (2) GDPR, Art. 6 GDPR, Art. 13 GDPR",Insufficient legal basis for data processing,link
378,ETid-692,HUNGARY,2021-04-27,"1,400",Company,"Art. 5 (1), (2) GDPR, Art. 6 GDPR, Art. 13 GDPR",Insufficient legal basis for data processing,link
379,ETid-691,SPAIN,2021-05-25,900,Managing Director of a company,Art. 13 GDPR,Insufficient fulfilment of information obligations,link
380,ETid-690,SPAIN,2021-05-21,"3,000",Physician,Art. 6 GDPR,Insufficient legal basis for data processing,link
381,ETid-689,IRELAND,2021-03-23,"90,000",Irish Credit Bureau DAC,"Art. 5 (2) GDPR, Art. 24 (1) GDPR, Art. 25 (1) GDPR",Insufficient technical and organisational measures to ensure information security,link
382,ETid-688,NORWAY,2021-05-20,"39,000",Municipality of Oslo,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,link
383,ETid-687,THE NETHERLANDS,2020-03-24,"15,000",CP&A,"Art. 9 GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security,link
384,ETid-686,ITALY,2021-04-15,"40,000",Comune di Palermo,"Art. 5 (1) f) GDPR, Art. 25 GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security,link
385,ETid-685,ROMANIA,2021-05-19,"2,000",Banca Comercială Română S.A.,"Art. 5 (1) a), d), (2) GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,link
386,ETid-684,ROMANIA,2021-05-19,500,Owners Association of Iasi Municipality,"Art. 58 (1) a), e) GDPR",Insufficient cooperation with supervisory authority,link
387,ETid-683,ITALY,2021-04-15,"5,000",Physician,"Art. 5 (1) a), c) GDPR, Art. 6 GDPR, Art. 9 GDPR",Insufficient legal basis for data processing,link
388,ETid-682,ITALY,2021-04-15,"2,000",Società triveneta di chirurgia,"Art. 5 (1) a), c) GDPR, Art. 6 GDPR, Art. 9 GDPR",Insufficient legal basis for data processing,link
389,ETid-681,POLAND,2021-04-22,"245,000",Cyfrowy Polsat S.A.,"Art. 24 (1) GDPR, Art. 32 (1), (2) GDPR, Art. 34 (1) GDPR",Insufficient technical and organisational measures to ensure information security,link
390,ETid-680,GREECE,2021-05-12,"5,000",A. ΕΠΙΛΟΓΗ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ,"Art. 5 (1) a), b) GDPR, Art. 12 (3) GDPR, Art. 15 GDPR, Art. 17 GDPR",Non-compliance with general data processing principles,link
391,ETid-679,HUNGARY,2021-03-25,"1,425",Operator of a care facility,"Art. 5 (1) a), b), c) GDPR, Art. 6 GDPR, Art. 13 (1), (2) GDPR",Insufficient legal basis for data processing,link
392,ETid-678,THE NETHERLANDS,2020-12-20,"525,000",Locatefamily.com,Art. 27 GDPR,Non-compliance with general data processing principles,link
393,ETid-677,SPAIN,2021-05-14,"30,000","Allianz Compañia de Seguros y Reaseguros, S.A.",Art. 6 GDPR,Insufficient legal basis for data processing,link
394,ETid-676,ROMANIA,2021-05-13,"2,000",Telekom Romania Communications SA,"Art. 6 GDPR, Art. 21 GDPR",Insufficient fulfilment of data subjects rights,link
395,ETid-675,ROMANIA,2021-05-14,200,Website operator,"Art. 5 (1) a), b), (2) GDPR, Art. 6 (1) GDPR, Art. 13 (1), (2), (3) GDPR, Art. 32 (2) GDPR",Non-compliance with general data processing principles,link
396,ETid-674,ITALY,2021-03-25,"4,000",Comune di Castellanza,"Art. 5 (1) a), c) GDPR, Art. 6 (1) c), e) GDPR, Art. 6 (2) GDPR, Art. 6 (3) b) GDPR",Insufficient legal basis for data processing,link
397,ETid-673,SPAIN,2021-05-12,"3,000",Solram T Y R S.L.,Art. 17 GDPR,Insufficient fulfilment of data subjects rights,link
398,ETid-672,THE NETHERLANDS,2020-06-16,"7,500",PVV Overijssel,Art. 33 GDPR,Insufficient fulfilment of data breach notification obligations,link
399,ETid-671,SPAIN,2021-05-04,"1,500,000","EDP Energía, S.A.U","Art. 13 GDPR, Art. 25 GDPR",Insufficient fulfilment of information obligations,link
400,ETid-670,SPAIN,2021-05-04,"1,500,000","EDP Comercializadora, S.A.U.","Art. 13 GDPR, Art. 25 GDPR",Insufficient fulfilment of information obligations,link
401,ETid-669,ICELAND,2021-04-29,"23,100",InfoMentor ehf,"Art. 32 (1) b), d) GDPR",Insufficient technical and organisational measures to ensure information security,link
402,ETid-668,ROMANIA,2021-05-07,"2,000",World Class România S.A.,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,link
403,ETid-667,NORWAY,2021-05-05,Only intention to issue fine,Disqus Inc.,"Art. 5 (1), (2) GDPR, Art. 6 GDPR, Art. 12 GDPR, Art. 13 GDPR",Insufficient legal basis for data processing,link
404,ETid-666,HUNGARY,2021-03-24,"27,700",Budapest Főváros Kormányhivatala XI. kerületi Hivatalát (11th District Public Health Department of the Government Office of the Capital City Budapest),"Art. 32 (1) a), b) GDPR, Art. 32 (2) GDPR, Art. 33 (1) GDPR, Art. 34 (1) GDPR",Insufficient technical and organisational measures to ensure information security,link
405,ETid-665,FINLAND,2021-04-21,"75,000",ParkkiPate Oy,"Art. 5 (1) c) GDPR, Art. 12 (3), (4), (6) GDPR, Art. 14 (2) a) GDPR, Art. 14 (3) GDPR, Art. 15 GDPR, Art. 17 (1) a) GDPR, Art. 25 (2) GDPR",Insufficient fulfilment of data subjects rights,link
406,ETid-664,BELGIUM,2021-04-26,"100,000",Financial company,"Art. 5 (1) f) GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security,link
407,ETid-663,ITALY,2021-03-25,"20,000",GEDI News Network Spa,"Art. 12 (3), (4) GDPR",Insufficient legal basis for data processing,link
